[29.08.2025 17:17:53]  [Authorization] Error: Error while copying content to a stream.
[29.08.2025 17:18:08]  [MessengerWindow] Инициализация для пользователя: Вася жопкин бамбук (vasya)
[29.08.2025 17:18:08]  [MessengerWindow] Инициализация завершена
[29.08.2025 17:18:11]  [LBChats_SelectionChanged] Selected contact: Убека (ybeka)
[29.08.2025 17:18:12]  [LBChats_SelectionChanged] Restored draft for Убека: ''
[29.08.2025 17:18:19]  [LBChats_SelectionChanged] Saved draft for Убека: ''
[29.08.2025 17:18:19]  [LBChats_SelectionChanged] Selected contact: Masya (masya)
[29.08.2025 17:18:26]  [LBChats_SelectionChanged] Restored draft for Masya: ''
[29.08.2025 17:18:35]  [SendMessage] Starting send message: 'hqdefault (1).jpg' to contact: Masya
[29.08.2025 17:18:35]  [SendMessage] Message added to local contact. Sending to user...
[29.08.2025 17:18:35]  [AddMessageToUser] Получен файл от vasya: https://localhost:5000/upload/hqdefault (1).jpg
[29.08.2025 17:19:15]  [MessengerWindow] Инициализация для пользователя: Мася (masya)
[29.08.2025 17:19:15]  [MessengerWindow] Инициализация завершена
[29.08.2025 17:19:15]  [AddMessageToUser] Получен файл от Вася жопкин бамбук: https://localhost:5000/upload/hqdefault (1).jpg
[29.08.2025 17:19:17]  [LBChats_SelectionChanged] Selected contact: Убебка (ybeka)
[29.08.2025 17:19:17]  [LBChats_SelectionChanged] Restored draft for Убебка: ''
[29.08.2025 17:19:17]  [LBChats_SelectionChanged] Saved draft for Убебка: ''
[29.08.2025 17:19:17]  [LBChats_SelectionChanged] Selected contact: Вася жопкин бамбук (vasya)
[29.08.2025 17:19:18]  [LBChats_SelectionChanged] Restored draft for Вася жопкин бамбук: ''
[29.08.2025 17:19:38]  [SendMessage] Starting send message: '123' to contact: Вася жопкин бамбук
[29.08.2025 17:19:38]  [SendMessage] Message added to local contact. Sending to user...
[29.08.2025 17:19:39]  [AddMessageToUser] Получено сообщение от Masya: 123
[29.08.2025 17:19:39]  [AddMessageToUser] Получено сообщение от masya: 123
[29.08.2025 17:20:12]  [LBChats_SelectionChanged] Saved draft for Masya: ''
[29.08.2025 17:20:12]  [LBChats_SelectionChanged] Selected contact: Убека (ybeka)
[29.08.2025 17:20:13]  [LBChats_SelectionChanged] Restored draft for Убека: ''
[29.08.2025 17:20:35]  [LBChats_SelectionChanged] Saved draft for Убека: ''
[29.08.2025 17:20:35]  [LBChats_SelectionChanged] No item selected
