[21.07.2025 14:23:00]  [Authorization] Error: Error while copying content to a stream.
[21.07.2025 14:23:25]  [MessengerWindow] Инициализация для пользователя: Вася жопкин бамбук (vasya)
[21.07.2025 14:23:25]  [LoadLastSelectedContact] Загружен последний выбранный контакт: Убека
[21.07.2025 14:23:25]  [MessengerWindow] Последний выбранный контакт: Убека
[21.07.2025 14:23:25]  [MessengerWindow] Инициализация завершена
[21.07.2025 14:23:27]  [LBChats_SelectionChanged] Selected contact: Убека (ybeka)
[21.07.2025 14:23:27]  [MessageStatusChecker] Запущена периодическая проверка статуса сообщений (каждые 5 сек)
[21.07.2025 14:23:27]  [LBChats_SelectionChanged] Restored draft for Убека: ''
[21.07.2025 14:23:27]  [SaveLastSelectedContact] Сохранен последний выбранный контакт: Убека
[21.07.2025 14:23:27]  [NotifyServerOpenChat] Уведомили сервер об открытии чата с Убека
[21.07.2025 14:23:39]  [Window_Closing] Остановлен таймер проверки статуса сообщений
[21.07.2025 15:06:52]  [MessengerWindow] Инициализация для пользователя: Вася жопкин бамбук (vasya)
[21.07.2025 15:06:52]  [LoadLastSelectedContact] Загружен последний выбранный контакт: Убека
[21.07.2025 15:06:52]  [MessengerWindow] Последний выбранный контакт: Убека
[21.07.2025 15:06:52]  [MessengerWindow] Инициализация завершена
[21.07.2025 15:06:59]  [SendAddNewContactRequest] Error: Index was outside the bounds of the array.
[21.07.2025 15:07:21]  [MessengerWindow] Инициализация для пользователя: Вася жопкин бамбук (vasya)
[21.07.2025 15:07:21]  [LoadLastSelectedContact] Загружен последний выбранный контакт: Убека
[21.07.2025 15:07:21]  [MessengerWindow] Последний выбранный контакт: Убека
[21.07.2025 15:07:21]  [MessengerWindow] Инициализация завершена
[21.07.2025 15:08:12]  [MessengerWindow] Инициализация для пользователя: Вася жопкин бамбук (vasya)
[21.07.2025 15:08:13]  [LoadLastSelectedContact] Загружен последний выбранный контакт: Убека
[21.07.2025 15:08:13]  [MessengerWindow] Последний выбранный контакт: Убека
[21.07.2025 15:08:13]  [MessengerWindow] Инициализация завершена
[21.07.2025 15:08:47]  [MessengerWindow] Инициализация для пользователя: Вася жопкин бамбук (vasya)
[21.07.2025 15:08:47]  [LoadLastSelectedContact] Загружен последний выбранный контакт: Убека
[21.07.2025 15:08:47]  [MessengerWindow] Последний выбранный контакт: Убека
[21.07.2025 15:08:47]  [MessengerWindow] Инициализация завершена
[21.07.2025 15:18:29]  [MessengerWindow] Инициализация для пользователя: Вася жопкин бамбук (vasya)
[21.07.2025 15:18:30]  [LoadLastSelectedContact] Загружен последний выбранный контакт: Убека
[21.07.2025 15:18:30]  [MessengerWindow] Последний выбранный контакт: Убека
[21.07.2025 15:18:30]  [MessengerWindow] Инициализация завершена
[21.07.2025 15:19:26]  [SendAddNewContactRequest] Error: An error occurred while sending the request.
[21.07.2025 15:30:51]  [Authorization] Error: Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение. (localhost:5000)
[21.07.2025 15:30:56]  [MessengerWindow] Инициализация для пользователя: Вася жопкин бамбук (vasya)
[21.07.2025 15:30:57]  [LoadLastSelectedContact] Загружен последний выбранный контакт: Убека
[21.07.2025 15:30:57]  [MessengerWindow] Последний выбранный контакт: Убека
[21.07.2025 15:30:57]  [MessengerWindow] Инициализация завершена
[21.07.2025 15:30:58]  [LBChats_SelectionChanged] Selected contact: Убека (ybeka)
[21.07.2025 15:30:58]  [MessageStatusChecker] Запущена периодическая проверка статуса сообщений (каждые 5 сек)
[21.07.2025 15:30:59]  [LBChats_SelectionChanged] Restored draft for Убека: ''
[21.07.2025 15:30:59]  [SaveLastSelectedContact] Сохранен последний выбранный контакт: Убека
[21.07.2025 15:30:59]  [NotifyServerOpenChat] Уведомили сервер об открытии чата с Убека
[21.07.2025 15:31:03]  [LBChats_SelectionChanged] Saved draft for Убека: ''
[21.07.2025 15:31:03]  [LBChats_SelectionChanged] Selected contact: 123 (123)
[21.07.2025 15:31:03]  [LBChats_SelectionChanged] Restored draft for 123: ''
[21.07.2025 15:31:04]  [SaveLastSelectedContact] Сохранен последний выбранный контакт: 123
