[14.03.2026 18:24:40]  [Authorization] Error: Error while copying content to a stream.
[14.03.2026 18:24:50]  [MessengerWindow] Инициализация для пользователя: Мася (masya)
[14.03.2026 18:24:50]  [MessengerWindow] Инициализация завершена
[14.03.2026 18:28:56]  [MessengerWindow] Инициализация для пользователя: Мася (masya)
[14.03.2026 18:28:56]  [MessengerWindow] Инициализация завершена
[14.03.2026 18:31:55]  [MessengerWindow] Инициализация для пользователя: Мася (masya)
[14.03.2026 18:31:56]  [MessengerWindow] Инициализация завершена
[14.03.2026 18:32:15]  [MessengerWindow] Инициализация для пользователя: Мася (masya)
[14.03.2026 18:32:15]  [MessengerWindow] Инициализация завершена
[14.03.2026 18:33:54]  [MessengerWindow] Инициализация для пользователя: Мася (masya)
[14.03.2026 18:34:34]  [MessengerWindow] Инициализация для пользователя: Мася (masya)
[14.03.2026 18:34:34]  [MessengerWindow] Инициализация завершена
[14.03.2026 18:36:42]  [MessengerWindow] Инициализация для пользователя: Мася (masya)
[14.03.2026 18:36:42]  [MessengerWindow] Инициализация завершена
[14.03.2026 18:40:30]  [MessengerWindow] Инициализация для пользователя: Мася (masya)
[14.03.2026 18:40:30]  [MessengerWindow] Инициализация завершена
[14.03.2026 18:40:48]  [MessengerWindow] Инициализация для пользователя: Мася (masya)
[14.03.2026 18:40:49]  [MessengerWindow] Инициализация завершена
[14.03.2026 18:40:49]  [AddMessageToUser] Получено сообщение от masya: 123
[14.03.2026 18:40:49]  [AddMessageToUser] Получено сообщение от ad: 123
[14.03.2026 18:40:49]  [AddMessageToUser] Получено сообщение от masya: 123
[14.03.2026 18:40:49]  [AddMessageToUser] Получено сообщение от ad: 44
[14.03.2026 18:40:49]  [AddMessageToUser] Получено сообщение от masya: hi
[14.03.2026 18:40:50]  [AddMessageToUser] Получено сообщение от ad: 123
[14.03.2026 18:40:50]  [AddMessageToUser] Получено сообщение от masya: 33
[14.03.2026 18:40:50]  [AddMessageToUser] Получен файл от masya: 
[14.03.2026 18:40:50]  [AddMessageToUser] Получено сообщение от ad: Hola senor
[14.03.2026 18:40:50]  [AddMessageToUser] Получено сообщение от masya: привет
[14.03.2026 18:40:50]  [AddMessageToUser] Получен файл от masya: 
[14.03.2026 18:40:50]  [AddMessageToUser] Получено сообщение от ad: Porque soy Vasya Bambuk? Que es eso?
[14.03.2026 18:40:50]  [AddMessageToUser] Получен файл от masya: 
[14.03.2026 18:40:50]  [AddMessageToUser] Получено сообщение от masya: 123
[14.03.2026 18:40:50]  [AddMessageToUser] Получено сообщение от masya: qq негр
[14.03.2026 18:40:51]  [AddMessageToUser] Получено сообщение от somnia: q
[14.03.2026 18:40:51]  [AddMessageToUser] Получено сообщение от somnia: qq раб.
[14.03.2026 18:40:51]  [AddMessageToUser] Получено сообщение от masya: 123
[14.03.2026 18:40:51]  [AddMessageToUser] Получено сообщение от somnia: передаю от сварки, бабок нету зато есть айфон.
[14.03.2026 18:40:51]  [AddMessageToUser] Получен файл от masya: 
[14.03.2026 18:40:51]  [AddMessageToUser] Получен файл от somnia: 
[14.03.2026 18:40:51]  [AddMessageToUser] Получен файл от masya: 
[14.03.2026 18:40:51]  [AddMessageToUser] Получен файл от masya: 
[14.03.2026 18:40:51]  [AddMessageToUser] Получен файл от somnia: 
[14.03.2026 18:40:51]  [AddMessageToUser] Получен файл от masya: 
[14.03.2026 18:40:52]  [AddMessageToUser] Получено сообщение от somnia: ща если найду видос.
[14.03.2026 18:40:52]  [AddMessageToUser] Получено сообщение от masya: Привет
[14.03.2026 18:40:52]  [AddMessageToUser] Получено сообщение от TURIST: ку
[14.03.2026 18:40:52]  [AddMessageToUser] Получено сообщение от masya: это мой мессенджер
[14.03.2026 18:40:52]  [AddMessageToUser] Получено сообщение от masya: 123
[14.03.2026 18:40:52]  [AddMessageToUser] Получен файл от masya: 
[14.03.2026 18:40:52]  [AddMessageToUser] Получен файл от TURIST: 
[14.03.2026 18:40:52]  [AddMessageToUser] Получено сообщение от СвагаБро: 321
[14.03.2026 18:40:52]  [AddMessageToUser] Получен файл от masya: 
[14.03.2026 18:40:52]  [AddMessageToUser] Получен файл от masya: 
[14.03.2026 18:40:53]  [AddMessageToUser] Получено сообщение от СвагаБро: 321
[14.03.2026 18:40:53]  [AddMessageToUser] Получен файл от masya: 
[14.03.2026 18:40:53]  [AddMessageToUser] Получен файл от masya: 
[14.03.2026 18:40:53]  [AddMessageToUser] Получено сообщение от masya: хуй
[14.03.2026 18:40:53]  [AddMessageToUser] Получен файл от masya: 
[14.03.2026 18:40:53]  [AddMessageToUser] Получено сообщение от Till: 132
[14.03.2026 18:40:53]  [AddMessageToUser] Получен файл от masya: 
[14.03.2026 18:40:56]  [LBChats_SelectionChanged] Selected contact: Till (till_its_over)
