[11.02.2026 20:48:33]  [Authorization] Error: Error while copying content to a stream.
[11.02.2026 20:48:49]  [MessengerWindow] Инициализация для пользователя: Мася (masya)
[11.02.2026 20:48:49]  [MessengerWindow] Инициализация завершена
[11.02.2026 20:48:50]  [AddMessageToUser] Получено сообщение от masya: 123
[11.02.2026 20:48:50]  [AddMessageToUser] Получено сообщение от ad: 123
[11.02.2026 20:48:50]  [AddMessageToUser] Получено сообщение от masya: 123
[11.02.2026 20:48:50]  [AddMessageToUser] Получено сообщение от ad: 44
[11.02.2026 20:48:50]  [AddMessageToUser] Получено сообщение от masya: hi
[11.02.2026 20:48:50]  [AddMessageToUser] Получено сообщение от ad: 123
[11.02.2026 20:48:50]  [AddMessageToUser] Получено сообщение от masya: 33
[11.02.2026 20:50:49]  [MessengerWindow] Инициализация для пользователя: Мася (masya)
[11.02.2026 20:50:49]  [MessengerWindow] Инициализация завершена
[11.02.2026 20:50:50]  [AddMessageToUser] Получено сообщение от masya: 123
[11.02.2026 20:50:50]  [AddMessageToUser] Получено сообщение от ad: 123
[11.02.2026 20:50:50]  [AddMessageToUser] Получено сообщение от masya: 123
[11.02.2026 20:50:50]  [AddMessageToUser] Получено сообщение от ad: 44
[11.02.2026 20:50:50]  [AddMessageToUser] Получено сообщение от masya: hi
[11.02.2026 20:50:50]  [AddMessageToUser] Получено сообщение от ad: 123
[11.02.2026 20:50:50]  [AddMessageToUser] Получено сообщение от masya: 33
[11.02.2026 20:50:50]  [AddMessageToUser] Получен файл от masya: 
[11.02.2026 20:50:50]  [AddMessageToUser] Получено сообщение от ad: Hola senor
[11.02.2026 20:50:50]  [AddMessageToUser] Получено сообщение от masya: привет
[11.02.2026 20:50:51]  [AddMessageToUser] Получен файл от masya: 
[11.02.2026 20:50:51]  [AddMessageToUser] Получено сообщение от ad: Porque soy Vasya Bambuk? Que es eso?
[11.02.2026 20:50:51]  [AddMessageToUser] Получен файл от masya: 
[11.02.2026 20:50:51]  [AddMessageToUser] Получено сообщение от masya: 123
[11.02.2026 20:50:51]  [AddMessageToUser] Получено сообщение от masya: qq негр
[11.02.2026 20:50:51]  [AddMessageToUser] Получено сообщение от somnia: q
[11.02.2026 20:50:51]  [AddMessageToUser] Получено сообщение от somnia: qq раб.
[11.02.2026 20:50:51]  [AddMessageToUser] Получено сообщение от masya: 123
[11.02.2026 20:50:51]  [AddMessageToUser] Получено сообщение от somnia: передаю от сварки, бабок нету зато есть айфон.
[11.02.2026 20:50:51]  [AddMessageToUser] Получен файл от masya: 
[11.02.2026 20:50:52]  [AddMessageToUser] Получен файл от somnia: 
[11.02.2026 20:50:52]  [AddMessageToUser] Получен файл от masya: 
[11.02.2026 20:50:52]  [AddMessageToUser] Получен файл от masya: 
[11.02.2026 20:50:52]  [AddMessageToUser] Получен файл от somnia: 
[11.02.2026 20:50:52]  [AddMessageToUser] Получен файл от masya: 
[11.02.2026 20:50:52]  [AddMessageToUser] Получено сообщение от somnia: ща если найду видос.
[11.02.2026 20:50:52]  [AddMessageToUser] Получено сообщение от masya: Привет
