[18.12.2025 12:46:31]  [Authorization] Error: Error while copying content to a stream.
[18.12.2025 12:46:47]  [MessengerWindow] Инициализация для пользователя: Мася (masya)
[18.12.2025 12:46:47]  [MessengerWindow] Инициализация завершена
[18.12.2025 12:46:47]  [AddMessageToUser] Получено сообщение от masya: привет
[18.12.2025 12:46:47]  [AddMessageToUser] Получено сообщение от masya: 123
[18.12.2025 12:46:48]  [AddMessageToUser] Получено сообщение от masya: qq
[18.12.2025 12:46:48]  [AddMessageToUser] Получено сообщение от masya: ты чо лысый?
[18.12.2025 12:46:48]  [AddMessageToUser] Получено сообщение от masya: ахахахха
[18.12.2025 12:46:48]  [AddMessageToUser] Получено сообщение от masya: ах
[18.12.2025 12:46:48]  [AddMessageToUser] Получено сообщение от masya: ах
[18.12.2025 12:46:48]  [AddMessageToUser] Получено сообщение от masya: ахх
[18.12.2025 12:46:48]  [AddMessageToUser] Получено сообщение от masya: ах
[18.12.2025 12:46:48]  [AddMessageToUser] Получено сообщение от masya: ах
[18.12.2025 12:46:48]  [AddMessageToUser] Получено сообщение от masya: ах
[18.12.2025 12:46:49]  [AddMessageToUser] Получено сообщение от masya: ах
[18.12.2025 12:46:49]  [AddMessageToUser] Получено сообщение от masya: ахх
[18.12.2025 12:46:49]  [AddMessageToUser] Получено сообщение от masya: ахха
[18.12.2025 12:46:49]  [AddMessageToUser] Получено сообщение от masya: ахахах
[18.12.2025 12:46:49]  [AddMessageToUser] Получено сообщение от masya: дурак
[18.12.2025 12:46:49]  [AddMessageToUser] Получено сообщение от masya: ты шо
[18.12.2025 12:46:49]  [AddMessageToUser] Получено сообщение от masya: дурной
[18.12.2025 12:48:29]  [MessengerWindow] Инициализация для пользователя: Мася (masya)
[18.12.2025 12:48:30]  [MessengerWindow] Инициализация завершена
[18.12.2025 12:48:30]  [AddMessageToUser] Получено сообщение от masya: привет
[18.12.2025 12:48:30]  [AddMessageToUser] Получено сообщение от masya: 123
[18.12.2025 12:48:30]  [AddMessageToUser] Получено сообщение от masya: qq
[18.12.2025 12:48:30]  [AddMessageToUser] Получено сообщение от masya: ты чо лысый?
[18.12.2025 12:48:30]  [AddMessageToUser] Получено сообщение от masya: ахахахха
[18.12.2025 12:48:30]  [AddMessageToUser] Получено сообщение от masya: ах
[18.12.2025 12:48:30]  [AddMessageToUser] Получено сообщение от masya: ах
[18.12.2025 12:48:31]  [AddMessageToUser] Получено сообщение от masya: ахх
[18.12.2025 12:48:31]  [AddMessageToUser] Получено сообщение от masya: ах
[18.12.2025 12:48:31]  [AddMessageToUser] Получено сообщение от masya: ах
[18.12.2025 12:48:31]  [AddMessageToUser] Получено сообщение от masya: ах
[18.12.2025 12:48:31]  [AddMessageToUser] Получено сообщение от masya: ах
[18.12.2025 12:48:31]  [AddMessageToUser] Получено сообщение от masya: ахх
[18.12.2025 12:48:31]  [AddMessageToUser] Получено сообщение от masya: ахха
[18.12.2025 12:48:31]  [AddMessageToUser] Получено сообщение от masya: ахахах
[18.12.2025 12:48:31]  [AddMessageToUser] Получено сообщение от masya: дурак
[18.12.2025 12:48:31]  [AddMessageToUser] Получено сообщение от masya: ты шо
[18.12.2025 12:48:32]  [AddMessageToUser] Получено сообщение от masya: дурной
[18.12.2025 12:48:52]  [MessengerWindow] Инициализация для пользователя: Мася (masya)
[18.12.2025 12:48:52]  [MessengerWindow] Инициализация завершена
[18.12.2025 12:48:52]  [AddMessageToUser] Получено сообщение от masya: привет
[18.12.2025 12:48:52]  [AddMessageToUser] Получено сообщение от masya: 123
[18.12.2025 12:48:52]  [AddMessageToUser] Получено сообщение от masya: qq
[18.12.2025 12:48:53]  [AddMessageToUser] Получено сообщение от masya: ты чо лысый?
[18.12.2025 12:48:53]  [AddMessageToUser] Получено сообщение от masya: ахахахха
[18.12.2025 12:48:53]  [AddMessageToUser] Получено сообщение от masya: ах
[18.12.2025 12:48:53]  [AddMessageToUser] Получено сообщение от masya: ах
[18.12.2025 12:48:53]  [AddMessageToUser] Получено сообщение от masya: ахх
[18.12.2025 12:48:53]  [AddMessageToUser] Получено сообщение от masya: ах
[18.12.2025 12:48:53]  [AddMessageToUser] Получено сообщение от masya: ах
[18.12.2025 12:48:53]  [AddMessageToUser] Получено сообщение от masya: ах
[18.12.2025 12:48:53]  [AddMessageToUser] Получено сообщение от masya: ах
[18.12.2025 12:48:54]  [AddMessageToUser] Получено сообщение от masya: ахх
[18.12.2025 12:48:54]  [AddMessageToUser] Получено сообщение от masya: ахха
[18.12.2025 12:48:54]  [AddMessageToUser] Получено сообщение от masya: ахахах
[18.12.2025 12:48:54]  [AddMessageToUser] Получено сообщение от masya: дурак
[18.12.2025 12:48:54]  [AddMessageToUser] Получено сообщение от masya: ты шо
[18.12.2025 12:48:54]  [AddMessageToUser] Получено сообщение от masya: дурной
[18.12.2025 12:49:05]  [MessengerWindow] Инициализация для пользователя: Вася жопкин бамбук (vasya)
[18.12.2025 12:49:05]  [MessengerWindow] Инициализация завершена
[18.12.2025 12:49:05]  [AddMessageToUser] Получено сообщение от Мася: привет
[18.12.2025 12:49:05]  [AddMessageToUser] Получено сообщение от Мася: 123
[18.12.2025 12:49:06]  [AddMessageToUser] Получено сообщение от Мася: qq
[18.12.2025 12:49:06]  [AddMessageToUser] Получено сообщение от Мася: ты чо лысый?
[18.12.2025 12:49:06]  [AddMessageToUser] Получено сообщение от Мася: ахахахха
